iter	RMSE
0	733.7309159
1	717.2510643
2	701.6852632
3	688.1531939
4	671.9182035
5	655.7306244
6	640.2755597
7	628.3075009
8	614.8400289
9	601.987903
10	589.678336
11	577.6795673
12	566.5876259
13	554.2329137
14	544.0200407
15	531.9122686
16	522.3129327
17	514.3656538
18	505.4594664
19	497.7350698
20	488.9843891
21	479.6349438
22	471.4444185
23	464.0280617
24	456.2763539
25	449.4058351
26	442.2018487
27	436.462643
28	429.5136936
29	422.2662262
30	416.357548
31	411.7869946
32	408.0022111
33	402.8272219
34	398.0204482
35	392.3515657
36	387.8674409
37	382.9541041
38	379.74817
39	374.2403791
40	370.6087622
41	366.7083725
42	362.5066219
43	358.2407801
44	354.1343788
45	351.8025793
46	347.4081383
47	343.7257734
48	340.9872909
49	338.1430447
50	334.2945354
51	330.4630899
52	329.0041133
53	325.8573242
54	323.4944638
55	320.9475207
56	317.2508758
57	314.0193646
58	310.8516128
59	307.313128
60	304.1939804
61	300.798491
62	299.5732965
63	296.9338427
64	294.6597027
65	292.7576232
66	290.2513092
67	287.9155927
68	286.1136895
69	282.8489873
70	279.6118391
71	277.5355332
72	276.0926456
73	274.0936872
74	270.9740701
75	269.5833516
76	268.375051
77	265.3967101
78	263.5042598
79	261.7932774
80	259.3223479
81	256.8332939
82	255.4834847
83	253.5304227
84	252.8830759
85	250.1722173
86	247.328162
87	244.945126
88	243.3901812
89	240.904257
90	238.9424439
91	236.7933979
92	235.585919
93	234.4596193
94	232.8547726
95	230.6844131
96	229.4350286
97	228.4684818
98	227.507786
99	225.4732524
100	224.6561126
101	222.9442853
102	222.392873
103	220.1889289
104	219.0717958
105	218.2685511
106	217.4122932
107	215.299286
108	214.2435626
109	213.7283256
110	212.4893956
111	210.9832128
112	209.3370591
113	207.8388262
114	206.648454
115	204.8862058
116	203.6285849
117	202.3644123
118	200.6181797
119	199.0439467
120	197.3465151
121	195.7850693
122	194.9358142
123	193.525806
124	192.7750282
125	191.6864276
126	190.6650935
127	189.1147294
128	188.7313656
129	187.5963111
130	186.9873968
131	185.4090606
132	183.7111092
133	182.8618914
134	181.5344884
135	180.3086596
136	178.8849481
137	178.1152795
138	177.356895
139	176.1672171
140	175.5935551
141	174.5039684
142	173.44224
143	172.5238612
144	171.9912184
145	170.8932649
146	169.8734777
147	169.2135207
148	168.0704771
149	166.9609709
150	165.9159371
151	164.9761665
152	164.5545596
153	163.5445283
154	162.8380165
155	161.5680773
156	161.1933894
157	160.6402043
158	159.6609331
159	158.8393608
160	158.5447599
161	157.4647617
162	156.4605406
163	155.5530129
164	154.8550306
165	154.4146824
166	153.40617
167	152.4989048
168	151.5668492
169	151.043149
170	150.6031921
171	149.7207716
172	149.0664441
173	148.2747963
174	147.6275497
175	146.7303057
176	145.7963634
177	145.5468376
178	144.7069555
179	144.1933154
180	143.6407839
181	143.1767558
182	142.7027228
183	142.0061711
184	140.9936169
185	140.5168751
186	139.6588904
187	138.8244183
188	137.9953739
189	137.5546946
190	137.0942252
191	136.7366269
192	135.9558157
193	135.2979371
194	134.9543684
195	134.1187445
196	133.7379608
197	133.0215679
198	132.6536211
199	131.8509228
200	131.0308294
201	130.2772589
202	129.7890195
203	128.946239
204	128.6003806
205	127.9194923
206	127.323869
207	126.6496714
208	126.328896
209	125.6697016
210	125.3860434
211	125.1121885
212	124.5793807
213	124.0126973
214	123.3832469
215	123.1188036
216	122.3850071
217	122.1325786
218	121.4822387
219	120.7270263
220	120.0994584
221	119.3779011
222	119.1320136
223	118.612947
224	118.1056734
225	117.4725629
226	116.9488166
227	116.7147405
228	116.0952294
229	115.7403149
230	115.4064477
231	114.7046983
232	114.2529261
233	114.0307561
234	113.5343433
235	112.995545
236	112.6620026
237	112.4492393
238	112.2107366
239	112.0092966
240	111.4566172
241	111.2338044
242	110.7879705
243	110.5659761
244	109.8864025
245	109.6759116
246	109.0457983
247	108.6229705
248	108.2005518
249	107.8435231
250	107.6633729
251	107.0126277
252	106.838291
253	106.3550745
254	105.9725477
255	105.7736392
256	105.4499001
257	105.0870488
258	104.5690935
259	104.1471797
260	103.8530306
261	103.3859546
262	102.9511778
263	102.7618275
264	102.5788227
265	102.2074061
266	101.6909477
267	101.3556636
268	101.0236902
269	100.4074289
270	100.2330061
271	99.63052174
272	99.24959117
273	99.0269481
274	98.58082761
275	98.241497
276	98.00215048
277	97.69471945
278	97.23563692
279	96.74481169
280	96.22723995
281	95.7570239
282	95.53406597
283	95.12989269
284	94.97491208
285	94.44317532
286	94.1128732
287	93.73118251
288	93.58042687
289	93.29913364
290	93.15470339
291	93.01508875
292	92.70864816
293	92.38188422
294	91.94257261
295	91.80853209
296	91.67894432
297	91.23834051
298	90.78918131
299	90.48141518
300	89.9444752
301	89.55356874
302	89.29181443
303	89.10737435
304	88.84871337
305	88.44792926
306	88.00402732
307	87.67408808
308	87.3084539
309	87.0612081
310	86.82320957
311	86.45426699
312	86.17302492
313	85.81231155
314	85.6020878
315	85.20680045
316	84.85579273
317	84.44450305
318	84.23816048
